timestamp,tweet_text,username,followers_count
2020-06-03 12:04:19,b'#gtu #BoycottGTUOfflineExams  @narendramodi @GTUoffice @imBhupendrasinh @vijayrupanibjp  Cancel exam and appeal for mass promotion for final year students.  And BJP government not taking any action against the exam cancellation',b'JoshiMohit6',0
2020-06-03 12:04:17,b'@HRDMinistry @MIB_India @MIB_Hindi @PrakashJavdekar is this what we expect under BJP govt?BJP also does not want Indians to know true history?What is the difference between you and leftist who distorted Indian History?@narendramodi sir...not done! https://t.co/CpyDFwVVgW',b'SarvasvaTheGod',182
2020-06-03 12:03:49,"b'The BJP responds.   The people of Banaskantha have given the Lok Sabha seat to the BJP at the right time.  So, why is Banaskantha deprived of water? #Dhanerawantwater @PMOIndia  @narendramodi  @CMOGuj  @vijayrupanibjp  @Nitinbhai_Patel'",b'HarjiChaudhary2',9
2020-06-03 12:03:06,"b""@DeccanHerald @drashwathcn @akramtalk you are not health minister you just smiled and did'nt even said about exams or promotion waste minister disaster governance from bjp in Karnataka @siddaramaiah @narendramodi  @BSYBJP #promoteallvtustudents""",b'realsachinh',10
2020-06-03 12:02:06,b'@bold_views @ShivRajMathur1 @priyapyadav18 @psiubu Hence this #PMCaresFunds Shd B Renamed #ModiRetirementFund! Feel @narendramodi @AmitShah @PrakashJavdekar @BJP4India R Good in Renaming! @Kodungolan737 @logicalindianz @rkmarar9 @jothims @BSYBJP @CTRavi_BJP @RSSorg @kkhushal9 @Ajaykumar00009 @prameshjain12 @nkaggere @BDUTT @Nidhi',b'mani24sjcpl',375
2020-06-03 12:01:00,b'Progress with BJP: Empowered Group of Secretaries and Project Development Cells set up to attract investments in India. #InvestInIndia  @narendramodi',b'Rakesh25182',10417
2020-06-03 11:59:16,"b'@PMOIndia  @narendramodi  @nstomar  @PrakashJavdekar  @nsitharaman  Great reforms announced, We seek Compliance by ALL BJP STATES, URGENT NEED TO ISSUE WHIP TO FOLLOW,,TIME TO ABIDE RULES, TIME TO ABOLISH APMC MKTS.'",b'MomayaDhirish',8
2020-06-03 11:59:04,b'@navigatoryadav @ArunDeshpande20 @KLSachdeva2 @nrajabpcl @swetamishraa @Anil_J_INDIA @Dr_MR_Satapathy @nair_hena @Anju1951Purohit @chitranayal09 @narendramodi @majorgauravarya @desertfox61I @SoniaGurnani19 @ParasKGhelani @shitul905 @LevinaNeythiri @savitha_rao @MajorPoonia @sangitaRchopra @Richa_Anand73 @ModiBrigade_Ind @dhaval8456 @lakshmianand96 @OnlineRajan__ @Hamara_Desh @Ramesh_BJP @GauravModified @NationalistIn14 @meenakshisharan @aprnh19 @namoArunima @Pankaj_NaMo @0mNam0 @pn906 @drrajinder1984 @AbhinandanKaul @Bobbyamit76 @mahendra3 @rajagopalan8 @naturaize @dauntingsh @SortedEagle @Sowmiya07939778 @mohana5121966 @anilp68 @Manishapangark1 @Stuti8220 @tmmenon @i__Mystic To become a great world power you need powerful Armd forces and a leadership that can assert itself and stand up to any threat .',b'KSMANN',1984
2020-06-03 11:57:35,"b'@chinmay_231082 @amitmalviya @narendramodi Also, why BJP never went hammer and tongs at Congress over this?'",b'Adi7ya',293
2020-06-03 11:56:55,b'@ShankarGoud9406 @BJP4Telangana @bandisanjay_bjp @BjpAchary Commitment of @narendramodi ji &amp; @BJP4India is why India is prospering &amp; will continue in growth to become one among the strong hold countries in the world \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb',b'CaptPaidipalli',26
2020-06-03 11:56:35,"b""@KSMANN @chitranayal09 @nrajabpcl @swetamishraa @Anil_J_INDIA @Dr_MR_Satapathy @nair_hena @Anju1951Purohit @narendramodi @majorgauravarya @desertfox61I @SoniaGurnani19 @ParasKGhelani @shitul905 @LevinaNeythiri @savitha_rao @MajorPoonia @sangitaRchopra @Richa_Anand73 @ModiBrigade_Ind @dhaval8456 @lakshmianand96 @OnlineRajan__ @Hamara_Desh @Ramesh_BJP @GauravModified @NationalistIn14 @meenakshisharan @aprnh19 @namoArunima @Pankaj_NaMo @0mNam0 @pn906 @drrajinder1984 @AbhinandanKaul @Bobbyamit76 @mahendra3 @rajagopalan8 @naturaize @dauntingsh @SortedEagle @Sowmiya07939778 @mohana5121966 @anilp68 @Manishapangark1 @Stuti8220 @tmmenon @i__Mystic @HeritageCitizen @_RajivTweets Modi Ji is:  1. Patriot 2. Selfless 3. Country Before Self 4. High Integrity 5. NOT FOR SALE  Ghandy's are exactly opposite!!""",b'ArunDeshpande20',1583
2020-06-03 11:55:40,"b""@BJP4India @narendramodi @JPNadda You people never take a stand for your own people, that's your problem. BJP supporters or working people gets keep killing.  Nothing should happen to Aijaz Bhai! Take a note and provide security please. https://t.co/6ln4SnewNU""",b'Real_ManiRai',50
2020-06-03 11:54:29,b'Copy to @bandisanjay_bjp ji. https://t.co/mGOLIRPa5h',b'ShaikhAhmedNZB',403
2020-06-03 11:52:09,b'Why not any strong outrage frm Bjp &amp; ultra bhakts agst @ektarkapoor Bcz #jeetendrakapoor is #NarendraModi supporter &amp; #EktaKapoor also tweeted in favour Of modi govt with selfies People can say whatevr on @RealKingbhau but he is real hero Support #hindustanibhau #CodeM #altbalaji',b'vinayaksavashe',1023
2020-06-03 11:51:41,"b'The government under PM  @narendramodi \xe2\x80\x99s able leadership constitutes an Empowered Group of Secretaries and Project Development Cells to attract FDI. Not only will this give a leg up to Make in India, but will transform into Make for World. #InvestInIndia  @narendramodi_in'",b'bjp_nis',1953
2020-06-03 11:51:22,b'@gajainder @narendramodi @AmitShah @BJP4Delhi @BJP4India @blsanthosh @v_shrivsatish @OmMathur_bjp @gssjodhpur @SarojPandeyBJP @M_Lekhi @adeshguptabjp @siddharthanbjp @ShyamSJaju @tarunchughbjp Happy bicycle day \xf0\x9f\x98\x84',b'Deepti47523943',3
2020-06-03 11:51:12,b'#Promote_Students_Save_Life save us from covid19 pandemic dont put us life threat.promote all student situation going to be worst.Dont play with our life its not congress vs BJP. @PMOIndia @narendramodi @ashokgehlot51 @rajnathsingh @AajTakTweets',b'Mahendr73538124',1
2020-06-03 11:51:02,b'@SarvaGyaani @ArshadWarsi @CMOMaharashtra @narendramodi @OfficeofUT @Shehzad_Ind @ARanganathan72 @PrinceArihan @Dev_Fadnavis @AUThackeray Yeah...right...that time BJP made dicision to remove him as CM then shivsena stepped in and saved his ass....u have to tell history completely',b'sunil_zanje',0
2020-06-03 11:50:35,b'@HardeepSPuri @PMOIndia @MoCA_GoI @AAI_Official @PIB_India Sir how About international flights? Many NRIs waiting to back on their work place. Now this is affecting on @BJP4India &amp; @narendramodi government work. Slowly now NRIs going against on BJP governement. @JPNadda @AmitShah this will affect on vote bank of BJP in next election',b'ArunDholiya5',3
2020-06-03 11:49:35,"b'@narendramodi Lockdown fail ab chalegi CORONA wali rail........ I m BJP supporter,, but corona ke sath jeee kar kyo khatm karke v jee sakte the na....'",b'Jayanti25067884',0
2020-06-03 11:48:44,b'@ArunDeshpande20 @chitranayal09 @nrajabpcl @swetamishraa @Anil_J_INDIA @Dr_MR_Satapathy @nair_hena @Anju1951Purohit @narendramodi @majorgauravarya @desertfox61I @SoniaGurnani19 @ParasKGhelani @shitul905 @LevinaNeythiri @savitha_rao @MajorPoonia @sangitaRchopra @Richa_Anand73 @ModiBrigade_Ind @dhaval8456 @lakshmianand96 @OnlineRajan__ @Hamara_Desh @Ramesh_BJP @GauravModified @NationalistIn14 @meenakshisharan @aprnh19 @namoArunima @Pankaj_NaMo @0mNam0 @pn906 @drrajinder1984 @AbhinandanKaul @Bobbyamit76 @mahendra3 @rajagopalan8 @naturaize @dauntingsh @SortedEagle @Sowmiya07939778 @mohana5121966 @anilp68 @Manishapangark1 @Stuti8220 @tmmenon @i__Mystic @HeritageCitizen @_RajivTweets That is the difference between this chor italian vadra gang  &amp; Modi',b'KSMANN',1984
2020-06-03 11:48:27,b'Modi Govt\xe2\x80\x99s decision to set up an Empowered Group of Secretaries and Project Development Cells will make India a highly investor-friendly destination. #InvestInIndia  @narendramodi  @narendramodi_in  @PMOIndia  @makeinindia  @investindia',b'bjp_nis',1953
2020-06-03 11:47:55,b'Aatma Nirbhar Bharat means an India which interacts with the world from a position of power. This power will be harnessed through PM  @narendramodi \xe2\x80\x99s decision to set up an EGoS and PDCs to attract FDI. #InvestInIndia   @narendramodi_in  @PMOIndia  @makeinindia  @investindia',b'bjp_nis',1953
2020-06-03 11:47:46,b'@AzeemBarchiwale @RahulGandhi @narendramodi No more BJP pls',b'devliya_rahul',155
2020-06-03 11:47:23,"b'@adeshguptabjp @BJP4Delhi @narendramodi @JPNadda @AmitShah @blsanthosh @ShyamSJaju @BJP4India Congratulations from my side become State President, BJP, Delhi Pardesh'",b'JyotishRajesh',485
2020-06-03 11:47:20,b'Political etiquette demanded that Prime Minister #NarendraModi and his #BJP should have deferred marking the first year of their second term in office while the country is reeling badly under a #pandemic and there was extreme #economicdistress all around https://t.co/3bLkhWMBZ9',b'DeccanChronicle',84148
